tuberculosis,country,hiv
99.797,AF,0.013
10.578,AL,0.001
38.64,DZ,0.039
14.555,AS,0.22
6.148,AD,0.014
214.083,AO,1.841
14.438,AG,0.093
16.786,AR,0.159
20.714,AM,0.09
4.528,AU,0.068
3.543,AT,0.03
46.082,AZ,0.025
12.256,BS,0.631
13.342,BH,0.012
115.48,BD,0.01
5.277,BB,0.55
21.473,BY,0.491
3.981,BE,0.085
21.261,BZ,0.376
80.906,BJ,0.263
13.674,BM,0.06
110.238,BT,0.088
21.071,BA,0.003
532.582,BW,2.842
36.373,BR,0.233
53.548,BN,0.057
12.406,BG,0.05
116.194,BF,0.069
243.474,BI,0.123
76.019,CV,0.17
228.627,KH,0.163
120.614,CM,0.974
6.075,CA,0.097
516.456,CF,1.134
174.053,TD,0.391
15.098,CL,0.279
50.399,CN,0.022
18.908,CO,0.181
193.992,KM,0.002
210.375,CG,1.568
13.543,CK,0.205
8.928,CR,0.096
8.727,HR,0.018
4.722,CU,0.174
3.153,CY,0.009
4.235,CZ,0.018
131.869,CI,0.697
2.739,DK,0.032
213.994,DJ,0.701
17.934,DM,0.104
46.312,DO,0.164
46.755,EC,0.209
8.858,EG,0.007
33.145,SV,0.097
144.311,GQ,6.49
404.335,ER,0.097
14.211,EE,0.16
742.416,SZ,5.774
221.854,ET,0.256
32.848,FJ,0.051
3.131,FI,0.018
4.483,FR,0.136
199.533,GA,1.26
179.038,GM,1.125
41.879,GE,0.071
3.375,DE,0.026
172.153,GH,0.698
2.999,GR,0.047
83.406,GL,0.174
8.128,GD,0.039
41.166,GU,0.049
17.001,GT,0.061
124.56,GN,0.532
215.877,GW,0.782
36.228,GY,0.409
83.316,HT,0.968
30.327,HN,0.022
5.49,HU,0.043
2.902,IS,0.098
212.643,IN,0.041
181.659,ID,0.034
20.37,IQ,0.007
3.411,IE,0.079
2.007,IL,0.068
4.945,IT,0.041
4.142,JM,0.379
13.48,JP,0.024
5.062,JO,0.001
41.599,KZ,0.486
200.422,KE,0.719
300.681,KI,0.008
15.927,KW,0.004
57.486,KG,0.525
96.187,LA,0.059
24.615,LV,0.323
12.412,LB,0.039
984.911,LS,6.941
105.058,LR,0.471
29.799,LY,0.02
31.776,LT,0.136
7.082,LU,0.076
221.561,MG,0.213
314.703,MW,1.458
63.118,MY,0.168
48.076,MV,0.006
118.359,ML,0.279
20.116,MT,0.244
337.216,MH,0.227
58.131,MR,0.6
18.231,MU,0.154
18.178,MX,0.138
82.654,MN,0.01
9.074,ME,0.007
66.421,MA,0.015
511.458,MZ,2.875
149.738,MM,0.2
514.231,NA,1.991
137.875,NR,0.214
135.358,NP,0.025
2.923,NL,0.02
7.439,NZ,0.019
25.608,NI,0.134
137.041,NE,0.051
125.375,NG,0.624
34.433,NU,0.204
14.205,MK,0.002
97.105,MP,0.033
3.212,NO,0.053
7.039,OM,0.109
132.717,PK,0.121
46.64,PW,0.205
30.53,PA,0.474
117.625,PG,0.308
30.3,PY,0.113
69.024,PE,0.115
324.107,PH,0.477
12.674,PL,0.025
9.244,PT,0.058
3.754,PR,0.134
23.1,QA,0.002
32.503,RO,0.037
62.224,RU,0.646
181.084,RW,0.376
9.781,KN,0.287
11.348,LC,0.37
13.393,VC,0.182
40.288,WS,0.21
1.988,SM,0.015
57.439,ST,0.265
35.3,SA,0.029
101.721,SN,0.165
10.306,RS,0.004
34.951,SC,0.037
171.647,SL,0.707
30.623,SG,0.087
4.94,SK,0.003
5.128,SI,0.014
64.757,SB,0.22
353.398,SO,0.129
980.764,ZA,5.003
330.55,SS,1.014
5.216,ES,0.07
52.926,LK,0.012
36.937,SD,0.561
17.229,SR,0.396
6.105,SE,0.05
3.181,CH,0.041
9.495,SY,0.004
43.052,TJ,0.067
166.643,TH,0.197
258.024,TL,0.166
158.174,TG,0.392
35.658,TK,0.191
30.261,TO,0.234
10.552,TT,0.825
23.154,TN,0.008
41.174,TM,0.026
208.629,TV,0.216
271.394,UG,1.494
64.917,UA,1.096
5.288,AE,0.023
6.418,GB,0.081
26.697,UY,0.301
41.082,UZ,0.272
51.37,VU,0.217
165.68,VN,0.131
19.083,YE,0.045
323.318,ZM,2.473
488.671,ZW,1.819
2.577,US,0.169
